	Username	Text	mentions	retweets	hastags	geo	favorites	date	month	day	hour
0		Raising a giant cup in support for a truly amazing PhD supervisor Dr Margaret Hodgins and colleagues #solidariTEA pic.twitter.com/nulsgCCvyG		1	#solidariTEA		3	2017-12-07 23:21:08	12	7	23
0		@NUIGsolidariTEA @MichelineShSk this makes it four continents supporting #solidariTEA thanks for the support for our colleagues. https:// twitter.com/orlamccormack3 0/status/938888572651712512 …	@NUIGsolidariTEA @MichelineShSk	3	#solidariTEA		2	2017-12-07 23:19:57	12	7	23
0		Fantastic #solidariTEA well done all @NUIGsolidariTEA We are all in support of you and inspired by you! Keep strong https:// twitter.com/michelineshsk/ status/938854122027147266 …	@NUIGsolidariTEA	5	#solidariTEA		6	2017-12-07 22:59:28	12	7	22
0		I’m a bit late as didn’t have WiFi in the university. Raised a cup with our Egyptian partners in #SolidariTea with our NUIG colleagues pic.twitter.com/lGhwZ9IJZH		8	#SolidariTea		17	2017-12-07 22:50:54	12	7	22
0		Is this Hong Kong?? That's four continents supporting the four women! #solidariTEA @NUIGsolidariTEA @FemSocNUIG @NUIGSU https:// twitter.com/fdelond/status /938725164761595904 …	@NUIGsolidariTEA @FemSocNUIG @NUIGSU	3	#solidariTEA		14	2017-12-07 22:34:19	12	7	22
0		NUIG urged to resolve issue of four women seeking promotion https://www. irishtimes.com/news/ireland/i rish-news/nuig-urged-to-resolve-issue-of-four-women-seeking-promotion-1.3319469 … @NUIGsolidariTEA #solidariTEA	@NUIGsolidariTEA	4	#solidariTEA		6	2017-12-07 22:13:42	12	7	22
0		#solidariTEA moved by the support at NUI Galway and around the world today for the female academics here - its time for a change of culture and our AthenaSwan recognition https://www. irishtimes.com/news/ireland/i rish-news/nuig-urged-to-resolve-issue-of-four-women-seeking-promotion-1.3319469 …		7	#solidariTEA		18	2017-12-07 21:48:31	12	7	21
0		@Afshin_Samali sorry your bun got robbed today! but it was all in aid of #solidariTEA	@Afshin_Samali	0	#solidariTEA		1	2017-12-07 21:18:52	12	7	21
0		Solidarity with our four colleagues fighting for gender justice in NUIG in UCD this morning @NUIGsolidariTEA #solidariTEA pic.twitter.com/GRZVbklD83	@NUIGsolidariTEA	3	#solidariTEA		14	2017-12-07 21:05:56	12	7	21
0		The 4 heroes who's courage and strength was celebrated today in #solidariTEA events across the country and beyond! @NUIGsolidariTEA https:// twitter.com/maigheox2/stat us/938746151255322624 …	@NUIGsolidariTEA	5	#solidariTEA		12	2017-12-07 20:55:17	12	7	20
0		Solidarity from CGFS to @NUIGsolidariTEA - donuts for gender justice in #solidariTEA with our colleagues and sisters in NUIG earlier this morning in UCD. pic.twitter.com/1pI5pi0Kmz	@NUIGsolidariTEA	1	#solidariTEA		4	2017-12-07 20:45:36	12	7	20
0		Yes!!! We've done it! There's been just such support in Ireland and on 3 continents for #solidariTEA that it's now trending in Ireland @nuigalway @NUIGsolidariTEA @FemSocNUIG https:// twitter.com/TrendsIreland/ status/938760090533941248 …	@nuigalway @NUIGsolidariTEA @FemSocNUIG	11	#solidariTEA		27	2017-12-07 20:34:00	12	7	20
0		To the v brave and corageous women #NUIG4 and all staff&student supporters @nuigalway thanks for a great event today #solidariTEA @NUIGsolidariTEA	@nuigalway @NUIGsolidariTEA	1	#NUIG4 #solidariTEA		1	2017-12-07 20:32:46	12	7	20
0		Having my #solidariTEA a little late. Kettle broke this morning, and then I couldn’t make the actual @NUIGsolidariTEA event. Better late than never! pic.twitter.com/W8S65cPTsW	@NUIGsolidariTEA	0	#solidariTEA		3	2017-12-07 20:13:55	12	7	20
0		Very appropriate. The Sheehy Skeffs don't go away..... #solidariTEA https:// twitter.com/gender_ucd/sta tus/938728523958771717 …		4	#solidariTEA		24	2017-12-07 20:13:03	12	7	20
0		Health promotion MA students popped over for a cuppa and cake between lectures today. Supporting the four lecturers fighting gender bias @nuigalway #solidariTEA https:// twitter.com/catchfield/sta tus/938721510243602437 …	@nuigalway	4	#solidariTEA		10	2017-12-07 19:56:23	12	7	19
0		If #feminism means women should have equal career promotion tracks and salaries as men, i am #feminist too. #solidariTEA w/ @HPRC_NUIG colleagues https:// twitter.com/catchfield/sta tus/938721510243602437 …	@HPRC_NUIG	1	#feminism #feminist #solidariTEA		4	2017-12-07 19:52:05	12	7	19
0		One more solidaritea today! #solidariTEA with Jamie Gorman & Anne Byrne pic.twitter.com/3M86tklGq6		2	#solidariTEA		23	2017-12-07 19:44:47	12	7	19
0		-and the Oireachtas again! Lovely support #solidariTEA @nuigalway @FemSocNUIG @NUIGSU https:// twitter.com/JanOSullivanTD /status/938745431277830149 …	@nuigalway @FemSocNUIG @NUIGSU	3	#solidariTEA		7	2017-12-07 18:49:52	12	7	18
0		This is Margaret's team! @mph21mph @NUIGsolidariTEA today #solidariTEA https:// twitter.com/catchfield/sta tus/938721510243602437 …	@mph21mph @NUIGsolidariTEA	2	#solidariTEA		7	2017-12-07 18:44:39	12	7	18
0		Go King's College! Looks great #solidariTEA @nuigalway @FemSocNUIG https:// twitter.com/WorksShe/statu s/938715429563961345 …	@nuigalway @FemSocNUIG	1	#solidariTEA		7	2017-12-07 18:38:24	12	7	18
0		...and of course UCD In 'my grandmother's building'! #solidariTEA https:// twitter.com/gender_ucd/sta tus/938718867886571520 …		3	#solidariTEA		11	2017-12-07 18:35:44	12	7	18
0		Senior staff in TCD here! #solidariTEA @nuigalway https:// twitter.com/TrinityGSU/sta tus/938725315035254785 …	@nuigalway	2	#solidariTEA		11	2017-12-07 18:33:49	12	7	18
0		Great to see so much student support -Students' Union & FemSoc in this pic @NUIGSU @FemSocNUIG @nuigalway #solidariTEA https:// twitter.com/NUIGsolidariTE A/status/938719703970844678 …	@NUIGSU @FemSocNUIG @nuigalway	1	#solidariTEA		5	2017-12-07 18:28:21	12	7	18
0		great morning at #solidariTea with UCD colleagues from #genderstudies #equalitystudies and across the university https:// twitter.com/gender_ucd/sta tus/938712553416519680 …		0	#solidariTea #genderstudies #equalitystudies		4	2017-12-07 18:15:46	12	7	18
0		Raised my coffee cup to this today. I want to to be justly proud of my alma mater @nuigalway #solidariTEA pic.twitter.com/1T8PHlFvnQ	@nuigalway	0	#solidariTEA		2	2017-12-07 17:59:11	12	7	17
0		Thank you for the support #solidariTEA from San Fransisco. @NUIGsolidariTEA was a great success several hundred turned up at NUIG and many more around the world to demonstrate support.	@NUIGsolidariTEA	3	#solidariTEA		4	2017-12-07 17:52:34	12	7	17
0		Had a coffee stop earlier to celebrate from afar in the spirit of #solidariTEA https://www. instagram.com/p/BcaHSsAF15_/		0	#solidariTEA		4	2017-12-07 17:39:21	12	7	17
0		As an @NUIGLaw grad, I'm proud to raise a mug in full support and #solidariTEA to @NUIGsolidariTEA pic.twitter.com/A9WSbVoQCS	@NUIGLaw @NUIGsolidariTEA	2	#solidariTEA		7	2017-12-07 17:25:19	12	7	17
0		Sorry to have missed the coffee morning in #NUIG for #genderequality but definitely raising a cup in #solidariTEA !		1	#NUIG #genderequality #solidariTEA		3	2017-12-07 17:22:26	12	7	17
0		Equality for women in NUI Galway gets cross party support from our Senators and TD's in the #Oireachtas #solidariTEA thanks @ivanabacik and @aliceeire for this event. https:// twitter.com/cathmartingree n/status/938748788239421441 …	@ivanabacik @aliceeire	2	#Oireachtas #solidariTEA		8	2017-12-07 17:13:33	12	7	17
0		Great to see our Senators and TD's support equality #solidariTEA		0	#solidariTEA		2	2017-12-07 16:52:02	12	7	16
0		Senators supporting #solidariTEA @solidariTEA https:// twitter.com/BoyhanVictor/s tatus/938763044959735808 …	@solidariTEA	2	#solidariTEA		2	2017-12-07 16:50:51	12	7	16
0		No special treatment, just equal opportunities unimpeded by subconscious or deliberate bias. It's not a lot to ask. From UL to NUIG, here's to #solidariTEA #WomenInAcademia #WomenInScience pic.twitter.com/TxOB6fo0Hf		2	#solidariTEA #WomenInAcademia #WomenInScience		11	2017-12-07 16:50:32	12	7	16
0		Even the canines support #solidariTEA @NUIsolidariTEA https:// twitter.com/NiamhCullen6/s tatus/938791680882470918 …	@NUIsolidariTEA	0	#solidariTEA		0	2017-12-07 16:49:24	12	7	16
0		Raising a supportive cup of #solidariTEA to the women seeking gender equality at NUI Galway @NUIGsolidariTEA pic.twitter.com/EXnuL5nuGu	@NUIGsolidariTEA	0	#solidariTEA		5	2017-12-07 16:48:09	12	7	16
0		So so heartening to see the support for our colleagues far and wide #solidariTEA https:// twitter.com/NUIGsolidariTE A/status/938777921736658944 …		0	#solidariTEA		3	2017-12-07 16:46:37	12	7	16
0		Thank you for standing up for #genderequality @NUIGsolidariTEA #solidariTea pic.twitter.com/MIXiQwyWmh	@NUIGsolidariTEA	2	#genderequality #solidariTea		9	2017-12-07 16:25:53	12	7	16
