Constituency,Name,Party,Vote,Voter type,Politician_Comment
Dublin South Central,Aengus Ó Snodaigh,SF,Yes,TD,
Industrial and Commercial Panel,Aidan Davitt,FF,No,Senator,
Cork North West,Aindrias Moynihan,FF,No,TD,
Dublin Fingal,Alan Farrell,FG,Yes,TD,
Tipperary,Alan Kelly,LAB,Yes,TD,
National University of Ireland,Alice Mary Higgins,IND,Yes,Senator,
Wicklow,Andrew Doyle,FG,No,TD,No problem with referendum
Galway East,Anne Rabbitte,FF,No,TD,
Industrial and Commercial Panel,Aodhán Ó Ríordáin,LAB,Yes,Senator,
Offaly,Barry Cowen,FF,Undeclared,TD,
Kildare North,Bernard Durkan,FG,Yes,TD,
Cork North Central,Billy Kelleher,FF,Yes,TD,
Nominated by the Taoiseach,Billy Lawless,IND,Undeclared,Senator,
Carlow–Kilkenny,Bobby Aylward,FF,No,TD,
Kerry,Brendan Griffin,FG,Undeclared,TD,I'm considering all information
Wexford,Brendan Howlin,LAB,Yes,TD,
Dublin Fingal,Brendan Ryan,LAB,Yes,TD,
Cavan-Monaghan,Brendan Smith,FF,No,TD,
Agricultural Panel,Brian Ó Domhnaill,FF,No,Senator,
Laois,Brian Stanley,SF,Yes,TD,
Dublin South Central,Bríd Smith,PBP,Yes,TD,
Cavan-Monaghan,Caoimhghín Ó Caoláin,SF,Yes,TD,
Offaly,Carol Nolan,SF,Yes,TD,
Industrial and Commercial Panel,Catherine Ardagh,FF,Yes,Senator,
Dublin South Central,Catherine Byrne,FG,Undeclared,TD,
Galway West,Catherine Connolly,IND,Yes,TD,
Dublin Rathdown,Catherine Martin,GRN,Yes,TD,
Kildare North,Catherine Murphy,SD,Yes,TD,
Industrial and Commercial Panel,Catherine Noone,FG,Yes,Senator,
Laois,Charles Flanagan,FG,Yes,TD,
Donegal,Charlie McConalogue,FF,Undeclared,TD,
Galway East,Ciarán Cannon,FG,Undeclared,TD,
Dublin Fingal,Clare Daly,IND,Yes,TD,
Nominated by the Taoiseach,Colette Kelleher,IND,Yes,Senator,
Dublin South West,Colm Brophy,FG,Yes,TD,
Industrial and Commercial Panel,Colm Burke,FG,Undeclared,Senator,
Meath West,Damien English,FG,Undeclared,TD,
Kerry,Danny Healy-Rae,IND,No,TD,
Mayo,Dara Calleary,FF,No,TD,
Cork North Central,Dara Murphy,FG,Undeclared,TD,
Dublin Fingal,Darragh O'Brien,FF,Undeclared,TD,
Waterford,David Cullinane,SF,Yes,TD,
University of Dublin,David Norris,IND,Yes,Senator,
Cork East,David Stanton,FG,Undeclared,TD,Still studying issue
Louth,Declan Breathnach,FF,No,TD,
Roscommon-Galway,Denis Naughten,IND,Undeclared,TD,
Agricultural Panel,Denis O'Donovan,FF,Undeclared,Senator,As Cathaoirleach I’m curtailed in making any comments on any issue that may come before the House
Dublin Bay North,Denise Mitchell,SF,Yes,TD,
Dublin North West,Dessie Ellis,SF,Yes,TD,
Administrative Panel,Diarmuid Wilson,FF,No,Senator,
Cork South Central,Donnchadh Ó Laoghaire,SF,Yes,TD,
Galway West,Éamon Ó Cuív,FF,No,TD,
Dublin Bay South,Eamon Ryan,GRN,Yes,TD,
Sligo-Leitrim,Eamon Scanlon,FF,Undeclared,TD,
Mayo,Enda Kenny,FG,Undeclared,TD,
Dublin Bay South,Eoghan Murphy,FG,Yes,TD,
Dublin Mid West,Eoin Ó Broin,SF,Yes,TD,
Roscommon-Galway,Eugene Murphy,FF,No,TD,However I do support the holding of a referendum
Louth,Fergus O'Dowd,FG,Yes,TD,
Dublin Bay North,Finian McGrath,IND,Yes,TD,
Cultural and Educational Panel,Fintan Warfield,SF,Yes,Senator,
Kildare South,Fiona O'Loughlin,FF,Yes,TD,Not in favour of abortion on demand
Industrial and Commercial Panel,Frances Black,IND,Yes,Senator,
Dublin Mid West,Frances Fitzgerald,FG,Yes,TD,
Nominated by the Taoiseach,Frank Feighan,FG,Undeclared,Senator,
Kildare North,Frank O'Rourke,FF,No,TD,
Cultural and Educational Panel,Gabrielle McFadden,FG,Yes,Senator,
Labour Panel,Gerald Nash,LAB,Yes,Senator,
Labour Panel,Gerard Craughwell,IND,Yes,Senator,
